age;gender;daily_gaming_hours;game_genre;primary_game;gaming_platform;sleep_hours;sleep_quality;sleep_disruption_frequency;academic_work_performance;grades_gpa;work_productivity_score;mood_state;mood_swing_frequency;withdrawal_symptoms;loss_of_other_interests;continued_despite_problems;eye_strain;back_neck_pain;weight_change_kg;exercise_hours_weekly;social_isolation_score;face_to_face_social_hours_weekly;monthly_game_spending_usd;years_gaming
17;Male;106;RPG;Elden Ring;Mobile;41;Insomnia;Often;Poor;106;;Angry;Often;FALSE;TRUE;TRUE;FALSE;TRUE;18;62;8;3;24777;1
17;Male;67;FPS;Call of Duty;Mobile;53;Insomnia;Often;Average;121;;Restless;Never;FALSE;FALSE;FALSE;TRUE;TRUE;14;81;4;86;3413;1
20;Male;69;Battle Royale;Fortnite;Console;47;Insomnia;Always;Below Average;329;2;Restless;Sometimes;TRUE;FALSE;FALSE;FALSE;FALSE;11;8;4;64;5903;10
16;Female;22;FPS;Call of Duty;Multi-platform;77;Fair;Sometimes;Excellent;145;;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;1;86;1;111;3173;6
22;Male;9;MOBA;Mobile Legends;Console;53;Poor;Sometimes;Poor;111;2;Depressed;Never;TRUE;FALSE;FALSE;FALSE;TRUE;33;72;5;16;16877;12
25;Other;47;RPG;Cyberpunk 2077;Multi-platform;7;Good;Never;Average;;1;Irritable;Never;FALSE;FALSE;FALSE;TRUE;FALSE;6;74;4;91;11014;9
18;Male;104;MOBA;Mobile Legends;PC;47;Poor;Never;Poor;355;;Anxious;Daily;TRUE;TRUE;FALSE;TRUE;TRUE;1;66;6;57;32687;5
19;Male;122;MOBA;Dota 2;Mobile;59;Fair;Often;Below Average;372;10;Depressed;Sometimes;TRUE;TRUE;FALSE;FALSE;TRUE;21;47;7;5;47321;5
27;Male;43;Strategy;StarCraft II;PC;53;Very Poor;Rarely;Good;;5;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;28;79;2;8;4435;7
22;Female;63;MOBA;Mobile Legends;Console;55;Fair;Sometimes;Below Average;398;4;Restless;Never;FALSE;FALSE;FALSE;TRUE;TRUE;2;9;2;97;5306;7
18;Male;77;Strategy;Civilization VI;Multi-platform;56;Poor;Sometimes;Below Average;322;;Anxious;Daily;FALSE;TRUE;TRUE;TRUE;TRUE;3;48;7;56;11052;5
21;Female;84;RPG;Elden Ring;Console;57;Poor;Often;Failing;314;9;Anxious;Rarely;TRUE;TRUE;FALSE;TRUE;FALSE;6;48;5;63;12887;2
18;Male;72;Strategy;Civilization VI;PC;39;Poor;Often;Below Average;397;;Depressed;Never;TRUE;FALSE;FALSE;TRUE;TRUE;4;46;6;52;13082;7
21;Male;51;RPG;Skyrim;Multi-platform;58;Fair;Never;Good;272;10;Irritable;Never;FALSE;FALSE;FALSE;FALSE;FALSE;11;73;3;113;2068;5
25;Male;58;MOBA;Dota 2;Mobile;53;Fair;Rarely;Below Average;;3;Excited;Rarely;FALSE;TRUE;FALSE;TRUE;FALSE;5;66;5;92;5518;11
21;Male;76;FPS;Overwatch;Mobile;56;Very Poor;Often;Poor;15;9;Euphoric;Rarely;TRUE;FALSE;TRUE;TRUE;TRUE;7;47;6;46;3869;6
23;Male;26;FPS;Call of Duty;Mobile;83;Poor;Always;Good;;4;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;4;88;1;14;645;3
21;Male;13;Battle Royale;Warzone;PC;84;Fair;Rarely;Good;144;5;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;5;96;1;126;1507;8
24;Male;62;RPG;Cyberpunk 2077;Multi-platform;59;Fair;Often;Average;;10;Anxious;Rarely;FALSE;TRUE;FALSE;FALSE;FALSE;8;65;6;49;13588;14
21;Male;91;RPG;Elden Ring;PC;32;Very Poor;Never;Average;292;1;Irritable;Rarely;TRUE;TRUE;FALSE;TRUE;TRUE;14;49;7;38;39601;1
22;Male;101;MOBA;Dota 2;Multi-platform;34;Poor;Sometimes;Below Average;11;2;Angry;Sometimes;TRUE;TRUE;FALSE;TRUE;FALSE;28;42;8;2;35837;3
25;Male;79;FPS;Valorant;Multi-platform;51;Fair;Sometimes;Average;;6;Angry;Rarely;TRUE;FALSE;FALSE;TRUE;FALSE;5;74;5;33;5396;7
19;Female;29;Strategy;Civilization VI;Multi-platform;8;Good;Always;Excellent;329;10;Angry;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;0;88;1;97;3581;9
19;Male;46;Strategy;StarCraft II;PC;59;Fair;Rarely;Below Average;21;6;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;1;85;3;9;1006;1
21;Male;57;MMO;Final Fantasy XIV;Multi-platform;57;Good;Always;Average;384;4;Angry;Never;FALSE;TRUE;FALSE;FALSE;TRUE;24;73;3;94;12333;8
22;Female;82;MOBA;League of Legends;Multi-platform;42;Poor;Rarely;Poor;227;6;Withdrawn;Rarely;FALSE;TRUE;FALSE;TRUE;TRUE;19;42;5;78;7794;5
19;Female;31;MOBA;League of Legends;Mobile;72;Good;Sometimes;Excellent;351;1;Euphoric;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;12;91;1;97;1506;1
22;Female;73;Strategy;Age of Empires;Mobile;3;Poor;Never;Excellent;215;5;Angry;Sometimes;TRUE;FALSE;FALSE;TRUE;TRUE;7;79;4;88;3157;12
17;Female;109;MMO;Elder Scrolls Online;Mobile;38;Poor;Often;Below Average;321;;Irritable;Daily;TRUE;TRUE;TRUE;TRUE;TRUE;35;37;6;11;23294;2
28;Male;11;RPG;Skyrim;Multi-platform;33;Very Poor;Sometimes;Average;;7;Anxious;Daily;TRUE;TRUE;TRUE;TRUE;FALSE;24;55;5;3;20735;4
19;Male;11;Mobile Games;PUBG Mobile;PC;37;Fair;Often;Poor;352;8;Irritable;Never;TRUE;FALSE;FALSE;FALSE;FALSE;8;63;8;4;48409;8
24;Male;105;MMO;Final Fantasy XIV;Multi-platform;45;Very Poor;Often;Poor;;4;Anxious;Often;TRUE;TRUE;FALSE;FALSE;TRUE;31;33;6;36;24074;10
19;Female;7;Strategy;Age of Empires;Multi-platform;41;Very Poor;Rarely;Below Average;142;4;Restless;Sometimes;TRUE;FALSE;FALSE;TRUE;FALSE;0;84;4;54;4566;8
16;Female;2;RPG;Elden Ring;Mobile;76;Fair;Rarely;Excellent;123;;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;1;99;3;127;2353;5
24;Male;112;MMO;Final Fantasy XIV;Mobile;4;Very Poor;Never;Poor;;10;Angry;Daily;TRUE;TRUE;TRUE;TRUE;FALSE;35;5;8;7;24683;8
21;Male;44;FPS;Call of Duty;Multi-platform;66;Fair;Rarely;Below Average;323;9;Angry;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;17;9;3;88;4531;8
17;Male;63;Mobile Games;PUBG Mobile;Mobile;5;Poor;Rarely;Average;35;;Withdrawn;Never;FALSE;FALSE;FALSE;TRUE;TRUE;3;76;3;82;416;5
18;Male;42;FPS;Valorant;Mobile;61;Poor;Never;Average;164;;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;6;72;1;95;699;7
20;Male;39;MMO;Elder Scrolls Online;Console;63;Good;Never;Good;35;9;Angry;Often;FALSE;FALSE;FALSE;FALSE;FALSE;0;79;2;9;3621;2
18;Female;15;Strategy;StarCraft II;Mobile;7;Good;Never;Average;124;;Irritable;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;3;115;1;136;32;7
24;Male;88;Strategy;Civilization VI;Mobile;41;Very Poor;Sometimes;Good;;6;Irritable;Never;TRUE;TRUE;TRUE;TRUE;TRUE;9;44;7;26;6773;11
21;Female;37;Battle Royale;Apex Legends;Multi-platform;58;Poor;Never;Poor;284;8;Angry;Never;FALSE;FALSE;FALSE;FALSE;FALSE;4;8;3;74;2463;10
19;Male;52;MOBA;Mobile Legends;Multi-platform;65;Poor;Never;Good;185;8;Angry;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;18;88;1;62;8991;2
20;Male;66;FPS;Overwatch;Mobile;51;Very Poor;Often;Failing;177;5;Irritable;Never;TRUE;TRUE;FALSE;TRUE;TRUE;16;74;6;55;566;5
24;Female;62;Strategy;StarCraft II;PC;59;Fair;Always;Average;;4;Anxious;Rarely;FALSE;FALSE;FALSE;FALSE;TRUE;7;78;2;73;12973;12
18;Male;36;MOBA;Dota 2;Console;61;Poor;Always;Below Average;202;;Restless;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;2;71;3;101;829;1
21;Female;6;MOBA;Mobile Legends;Mobile;67;Fair;Always;Excellent;241;3;Irritable;Often;FALSE;FALSE;FALSE;FALSE;FALSE;8;61;3;103;10818;3
27;Male;43;Battle Royale;Warzone;Multi-platform;55;Fair;Never;Below Average;;2;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;12;88;3;126;481;2
16;Male;87;RPG;Elden Ring;Console;36;Poor;Sometimes;Below Average;13;;Depressed;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;9;69;7;64;17836;6
21;Male;12;Mobile Games;Genshin Impact;Mobile;38;Very Poor;Sometimes;Average;131;5;Depressed;Rarely;FALSE;FALSE;FALSE;TRUE;TRUE;9;28;9;11;3897;2
22;Male;54;MMO;World of Warcraft;Mobile;55;Good;Often;Below Average;107;1;Excited;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;3;64;3;109;3977;3
19;Female;4;Strategy;StarCraft II;PC;69;Fair;Often;Average;185;1;Angry;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;4;66;2;82;4613;4
14;Female;47;MOBA;Dota 2;Mobile;55;Poor;Sometimes;Good;344;;Withdrawn;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;11;73;3;83;8751;4
21;Male;27;MMO;Elder Scrolls Online;PC;82;Good;Often;Good;369;3;Angry;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;6;68;1;12;1231;11
20;Male;72;Strategy;Civilization VI;Mobile;43;Very Poor;Always;Failing;258;8;Irritable;Sometimes;TRUE;TRUE;FALSE;FALSE;TRUE;6;8;5;36;1234;1
27;Male;39;Strategy;StarCraft II;Multi-platform;69;Poor;Always;Below Average;;6;Excited;Never;FALSE;FALSE;FALSE;FALSE;FALSE;1;61;1;112;1805;7
24;Other;129;Mobile Games;Clash of Clans;Console;55;Fair;Rarely;Failing;;10;Irritable;Daily;TRUE;FALSE;FALSE;TRUE;FALSE;26;49;7;14;18943;5
21;Male;51;MOBA;Dota 2;PC;67;Fair;Always;Good;128;1;Irritable;Never;FALSE;FALSE;FALSE;TRUE;FALSE;14;92;4;72;4743;7
21;Male;88;MMO;Elder Scrolls Online;Multi-platform;56;Poor;Rarely;Below Average;32;10;Angry;Never;FALSE;TRUE;TRUE;TRUE;TRUE;36;59;5;57;46275;4
19;Male;52;Strategy;StarCraft II;Mobile;63;Good;Rarely;Good;37;2;Restless;Often;FALSE;FALSE;FALSE;TRUE;FALSE;2;79;2;85;6025;1
20;Male;62;Mobile Games;PUBG Mobile;Console;53;Fair;Never;Good;219;3;Angry;Never;FALSE;FALSE;FALSE;TRUE;TRUE;1;67;3;106;10933;1
19;Female;43;MMO;Final Fantasy XIV;Mobile;53;Fair;Sometimes;Average;309;3;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;13;63;3;81;1263;5
19;Male;93;Mobile Games;Genshin Impact;Multi-platform;52;Very Poor;Sometimes;Poor;292;8;Restless;Rarely;FALSE;FALSE;TRUE;TRUE;TRUE;6;59;5;27;37168;2
20;Male;113;Strategy;StarCraft II;Mobile;59;Fair;Rarely;Poor;286;2;Anxious;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;44;26;6;37;4856;3
22;Male;11;FPS;Overwatch;Mobile;43;Very Poor;Rarely;Poor;323;4;Anxious;Often;TRUE;FALSE;TRUE;FALSE;TRUE;36;35;10;0;9698;9
17;Other;71;Mobile Games;PUBG Mobile;Mobile;54;Fair;Sometimes;Poor;241;;Anxious;Rarely;FALSE;FALSE;FALSE;TRUE;TRUE;13;48;3;53;10449;5
17;Male;46;RPG;Skyrim;PC;57;Fair;Always;Average;324;;Normal;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;14;72;3;91;1742;2
20;Male;32;MOBA;Dota 2;Multi-platform;72;Good;Often;Good;365;9;Euphoric;Often;FALSE;FALSE;FALSE;FALSE;FALSE;14;94;3;122;1798;2
16;Male;51;MMO;Final Fantasy XIV;Multi-platform;66;Good;Sometimes;Average;135;;Restless;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;26;8;3;72;13026;1
17;Male;27;MOBA;Dota 2;Console;86;Good;Rarely;Excellent;144;;Depressed;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;8;91;1;116;4338;4
20;Female;27;Battle Royale;Warzone;PC;71;Fair;Rarely;Good;338;2;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;6;66;2;139;3791;7
18;Male;41;Strategy;StarCraft II;Multi-platform;58;Fair;Never;Excellent;301;;Anxious;Never;FALSE;FALSE;FALSE;FALSE;FALSE;2;89;3;99;3475;1
20;Female;5;Strategy;Age of Empires;Mobile;87;Good;Never;Good;388;3;Irritable;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;4;104;1;15;2238;10
19;Male;71;MMO;Final Fantasy XIV;Console;43;Very Poor;Always;Below Average;245;4;Euphoric;Often;FALSE;TRUE;FALSE;FALSE;TRUE;1;85;5;37;79;5
19;Female;78;MOBA;League of Legends;Mobile;42;Fair;Sometimes;Poor;289;6;Depressed;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;47;4;83;13538;6
20;Female;35;MOBA;Mobile Legends;Console;5;Poor;Never;Average;322;3;Restless;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;10;2;85;4825;10
19;Male;87;Battle Royale;Fortnite;Console;33;Poor;Rarely;Below Average;347;2;Normal;Rarely;TRUE;FALSE;FALSE;FALSE;FALSE;16;64;5;32;36226;6
19;Male;82;Battle Royale;PUBG;Multi-platform;59;Poor;Often;Poor;247;7;Depressed;Sometimes;TRUE;FALSE;TRUE;FALSE;TRUE;9;54;5;4;1861;6
19;Female;87;RPG;Cyberpunk 2077;PC;42;Fair;Always;Poor;197;10;Anxious;Daily;FALSE;TRUE;FALSE;FALSE;FALSE;55;48;6;72;42862;4
27;Male;6;MOBA;Dota 2;PC;57;Good;Often;Below Average;;3;Depressed;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;12;53;5;5;7407;8
18;Female;59;FPS;Overwatch;Mobile;52;Fair;Always;Average;237;;Euphoric;Often;FALSE;TRUE;FALSE;TRUE;TRUE;31;62;3;61;2516;6
23;Male;52;Mobile Games;Clash of Clans;Mobile;59;Fair;Sometimes;Excellent;;2;Excited;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;15;84;2;96;1039;2
21;Male;55;MMO;Final Fantasy XIV;PC;53;Good;Rarely;Excellent;235;10;Restless;Often;FALSE;TRUE;FALSE;FALSE;FALSE;39;87;3;53;12144;11
17;Male;75;MOBA;League of Legends;Mobile;34;Very Poor;Rarely;Below Average;262;;Anxious;Never;FALSE;FALSE;TRUE;TRUE;FALSE;2;77;5;45;14506;4
26;Female;88;MMO;Elder Scrolls Online;PC;49;Poor;Often;Average;;9;Euphoric;Rarely;TRUE;TRUE;TRUE;FALSE;TRUE;35;59;6;16;43082;14
20;Female;57;RPG;Elden Ring;Mobile;55;Fair;Sometimes;Average;225;3;Euphoric;Daily;FALSE;TRUE;FALSE;FALSE;TRUE;3;87;5;85;6072;2
22;Female;109;FPS;Call of Duty;PC;52;Very Poor;Never;Poor;374;9;Irritable;Never;TRUE;TRUE;FALSE;TRUE;TRUE;3;52;8;0;24759;7
17;Male;23;FPS;Overwatch;Mobile;87;Good;Often;Good;139;;Restless;Often;FALSE;FALSE;FALSE;FALSE;FALSE;8;7;4;127;3591;4
24;Male;7;FPS;Valorant;Multi-platform;83;Good;Often;Average;;5;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;3;95;1;11;693;7
20;Male;66;MMO;Elder Scrolls Online;Console;38;Very Poor;Often;Poor;302;3;Angry;Sometimes;TRUE;TRUE;FALSE;TRUE;TRUE;1;81;3;75;5022;9
19;Female;93;FPS;CS:GO;Multi-platform;3;Poor;Sometimes;Poor;351;5;Irritable;Daily;TRUE;FALSE;FALSE;TRUE;FALSE;23;61;5;46;19586;3
33;Female;27;FPS;Overwatch;Mobile;87;Good;Rarely;Good;;6;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;1;83;2;107;3135;20
14;Male;1;MMO;World of Warcraft;Multi-platform;72;Fair;Often;Below Average;233;;Restless;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;4;101;1;134;3539;2
20;Female;89;Strategy;Civilization VI;Mobile;43;Fair;Rarely;Poor;328;1;Angry;Rarely;TRUE;FALSE;TRUE;TRUE;TRUE;34;69;5;47;13133;2
20;Male;82;FPS;CS:GO;Console;32;Poor;Never;Failing;233;8;Anxious;Rarely;FALSE;FALSE;TRUE;FALSE;TRUE;36;58;5;52;10372;2
18;Male;78;MMO;Final Fantasy XIV;Mobile;37;Very Poor;Sometimes;Poor;365;;Euphoric;Never;TRUE;TRUE;TRUE;FALSE;TRUE;14;58;6;63;8941;6
25;Female;39;Battle Royale;PUBG;Console;63;Poor;Always;Average;;2;Irritable;Often;FALSE;FALSE;FALSE;FALSE;FALSE;2;82;2;124;1757;9
16;Male;46;Battle Royale;PUBG;Multi-platform;6;Very Poor;Sometimes;Below Average;32;;Restless;Often;FALSE;FALSE;FALSE;TRUE;FALSE;16;69;3;89;374;5
20;Male;82;MOBA;Dota 2;PC;5;Poor;Often;Below Average;221;6;Restless;Sometimes;TRUE;FALSE;TRUE;FALSE;TRUE;31;66;6;64;6644;4
18;Female;73;Mobile Games;Candy Crush;Mobile;47;Very Poor;Always;Excellent;227;;Irritable;Never;TRUE;TRUE;FALSE;TRUE;FALSE;28;64;5;5;8174;6
23;Female;2;MOBA;Mobile Legends;Console;87;Fair;Sometimes;Excellent;;10;Excited;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;5;106;1;137;2074;11
19;Male;55;RPG;Cyberpunk 2077;Mobile;61;Fair;Rarely;Poor;105;1;Irritable;Daily;FALSE;TRUE;FALSE;FALSE;FALSE;28;77;3;97;14911;7
23;Male;44;Mobile Games;PUBG Mobile;PC;63;Fair;Often;Average;;1;Depressed;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;5;89;3;97;1436;8
20;Male;79;FPS;Overwatch;Console;47;Good;Often;Below Average;194;6;Withdrawn;Never;TRUE;TRUE;FALSE;FALSE;TRUE;39;56;5;8;8996;6
27;Male;142;Strategy;StarCraft II;Multi-platform;34;Very Poor;Rarely;Failing;;7;Anxious;Rarely;FALSE;FALSE;FALSE;TRUE;TRUE;44;29;9;0;738;10
15;Male;151;Strategy;Age of Empires;Multi-platform;57;Fair;Sometimes;Poor;372;;Restless;Never;FALSE;FALSE;FALSE;TRUE;TRUE;15;7;9;0;43538;2
13;Female;52;Mobile Games;PUBG Mobile;Multi-platform;55;Fair;Always;Average;31;;Normal;Never;FALSE;FALSE;FALSE;TRUE;FALSE;13;89;3;88;9286;3
19;Male;106;MOBA;League of Legends;Console;55;Good;Always;Failing;307;7;Anxious;Often;TRUE;TRUE;FALSE;FALSE;FALSE;22;25;5;3;4353;1
26;Male;37;Mobile Games;PUBG Mobile;PC;5;Fair;Always;Good;;1;Restless;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;18;62;3;74;1882;1
26;Female;82;Mobile Games;Clash of Clans;Multi-platform;41;Very Poor;Often;Average;;9;Anxious;Daily;FALSE;FALSE;FALSE;FALSE;TRUE;2;7;5;8;13424;14
20;Male;103;MMO;Elder Scrolls Online;Mobile;32;Very Poor;Often;Below Average;153;9;Euphoric;Sometimes;FALSE;TRUE;FALSE;FALSE;TRUE;1;43;7;42;26635;7
17;Male;93;RPG;Elden Ring;Console;48;Very Poor;Often;Average;16;;Anxious;Rarely;TRUE;FALSE;TRUE;TRUE;TRUE;32;66;8;41;36644;4
16;Male;118;Mobile Games;PUBG Mobile;PC;33;Very Poor;Rarely;Poor;269;;Restless;Often;TRUE;TRUE;FALSE;TRUE;FALSE;27;48;10;11;27057;5
13;Male;98;RPG;Cyberpunk 2077;Console;45;Poor;Sometimes;Below Average;205;;Restless;Rarely;TRUE;TRUE;FALSE;TRUE;TRUE;46;62;8;27;41807;1
20;Female;75;Mobile Games;Candy Crush;Multi-platform;43;Very Poor;Rarely;Poor;141;2;Withdrawn;Daily;TRUE;TRUE;FALSE;TRUE;FALSE;5;75;4;36;833;7
32;Female;66;FPS;CS:GO;PC;37;Poor;Rarely;Average;;3;Irritable;Often;TRUE;TRUE;FALSE;TRUE;TRUE;9;52;6;94;7747;6
20;Female;28;FPS;Valorant;Console;8;Good;Never;Below Average;118;4;Excited;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;13;65;3;10;134;9
25;Female;126;Battle Royale;Warzone;PC;48;Very Poor;Sometimes;Average;;2;Euphoric;Rarely;TRUE;TRUE;TRUE;TRUE;TRUE;5;45;7;0;43813;3
30;Male;5;MOBA;Mobile Legends;Multi-platform;69;Fair;Rarely;Average;;9;Irritable;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;1;71;4;105;1063;12
27;Female;54;FPS;CS:GO;Multi-platform;53;Good;Sometimes;Average;;7;Depressed;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;95;3;113;10606;8
17;Male;53;FPS;CS:GO;Mobile;65;Fair;Sometimes;Average;218;;Euphoric;Never;FALSE;FALSE;FALSE;TRUE;FALSE;2;61;1;65;12221;3
25;Female;94;RPG;Cyberpunk 2077;Mobile;48;Poor;Sometimes;Below Average;;9;Depressed;Rarely;FALSE;FALSE;FALSE;TRUE;TRUE;17;74;6;44;46994;3
24;Male;78;Mobile Games;Clash of Clans;Mobile;48;Poor;Always;Below Average;;10;Irritable;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;2;52;5;76;9367;5
22;Female;51;RPG;Skyrim;Console;67;Good;Rarely;Average;254;2;Angry;Often;FALSE;FALSE;FALSE;TRUE;FALSE;4;57;3;98;2445;1
19;Female;19;RPG;Cyberpunk 2077;Mobile;74;Good;Sometimes;Good;114;8;Angry;Never;FALSE;FALSE;FALSE;FALSE;FALSE;5;74;2;153;2364;2
15;Male;88;Mobile Games;Genshin Impact;PC;54;Fair;Always;Below Average;26;;Depressed;Often;TRUE;TRUE;FALSE;FALSE;TRUE;7;7;7;71;8342;1
16;Male;18;RPG;Skyrim;Mobile;85;Fair;Always;Good;201;;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;5;101;1;118;35;6
26;Female;29;Battle Royale;PUBG;PC;9;Fair;Always;Good;;6;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;8;97;3;143;3383;14
28;Male;35;Battle Royale;PUBG;Multi-platform;65;Fair;Always;Average;;10;Withdrawn;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;7;76;1;77;201;7
16;Male;99;FPS;CS:GO;PC;37;Good;Often;Below Average;399;;Withdrawn;Never;FALSE;FALSE;TRUE;TRUE;FALSE;19;45;5;34;257;4
17;Male;63;FPS;Call of Duty;Console;5;Fair;Rarely;Below Average;366;;Angry;Rarely;FALSE;TRUE;FALSE;TRUE;FALSE;18;73;6;101;3348;3
19;Male;8;MOBA;League of Legends;Mobile;54;Fair;Sometimes;Poor;109;6;Withdrawn;Often;TRUE;FALSE;FALSE;TRUE;TRUE;1;71;4;29;1898;8
22;Male;38;Battle Royale;Warzone;Console;54;Good;Always;Average;169;5;Depressed;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;10;3;94;315;8
20;Male;22;MMO;Elder Scrolls Online;Mobile;81;Good;Never;Good;115;5;Excited;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;12;88;2;125;65;8
17;Male;36;FPS;Overwatch;PC;61;Very Poor;Rarely;Good;108;;Restless;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;9;64;3;102;1592;5
21;Male;37;FPS;CS:GO;PC;69;Fair;Often;Excellent;274;4;Euphoric;Often;FALSE;FALSE;FALSE;FALSE;FALSE;3;61;3;75;4468;3
21;Female;19;FPS;Valorant;Multi-platform;87;Good;Rarely;Good;39;3;Withdrawn;Never;FALSE;FALSE;FALSE;FALSE;FALSE;1;97;1;145;1675;7
18;Male;67;FPS;Call of Duty;PC;36;Poor;Never;Poor;139;;Withdrawn;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;5;75;4;54;14822;5
19;Male;41;Battle Royale;PUBG;Multi-platform;53;Fair;Often;Below Average;236;5;Irritable;Never;FALSE;FALSE;FALSE;FALSE;FALSE;4;81;2;115;3657;3
20;Male;39;MOBA;League of Legends;Mobile;67;Good;Never;Below Average;388;8;Irritable;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;7;3;121;4246;2
34;Male;28;Strategy;StarCraft II;PC;71;Good;Sometimes;Excellent;;2;Anxious;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;9;99;2;135;435;16
20;Male;84;MMO;World of Warcraft;Mobile;43;Fair;Sometimes;Below Average;2;4;Angry;Rarely;TRUE;TRUE;FALSE;TRUE;TRUE;9;41;5;3;1807;1
19;Female;54;MOBA;Mobile Legends;Console;64;Fair;Rarely;Average;294;3;Irritable;Never;FALSE;FALSE;FALSE;TRUE;FALSE;2;67;3;111;14436;7
13;Male;62;MMO;Elder Scrolls Online;Console;57;Very Poor;Always;Average;261;;Irritable;Often;FALSE;FALSE;FALSE;TRUE;TRUE;11;66;4;104;7594;3
21;Male;86;MOBA;Dota 2;PC;32;Very Poor;Sometimes;Below Average;375;6;Restless;Daily;TRUE;TRUE;TRUE;TRUE;FALSE;28;65;8;47;39483;6
20;Male;76;Battle Royale;Apex Legends;Mobile;52;Fair;Rarely;Poor;145;7;Depressed;Rarely;TRUE;FALSE;TRUE;TRUE;FALSE;21;57;7;37;492;7
24;Female;86;RPG;Cyberpunk 2077;PC;38;Poor;Never;Good;;7;Irritable;Daily;TRUE;TRUE;FALSE;TRUE;TRUE;17;5;7;69;14209;12
22;Female;38;RPG;Cyberpunk 2077;Multi-platform;54;Poor;Never;Average;125;8;Irritable;Often;FALSE;FALSE;FALSE;FALSE;FALSE;15;64;2;129;1603;8
17;Male;62;MMO;Final Fantasy XIV;PC;64;Good;Never;Average;316;;Anxious;Sometimes;FALSE;TRUE;FALSE;FALSE;TRUE;15;59;5;102;14407;5
18;Male;49;Strategy;Age of Empires;Mobile;63;Poor;Sometimes;Good;345;;Irritable;Often;FALSE;FALSE;FALSE;TRUE;FALSE;3;78;4;103;6541;6
20;Female;7;Strategy;StarCraft II;Console;37;Insomnia;Rarely;Poor;173;5;Anxious;Never;TRUE;TRUE;FALSE;TRUE;FALSE;5;62;5;49;9951;8
19;Male;61;RPG;Elden Ring;Console;66;Fair;Sometimes;Below Average;115;1;Euphoric;Never;FALSE;TRUE;FALSE;TRUE;FALSE;1;89;3;59;9625;4
22;Male;6;Battle Royale;Warzone;PC;7;Poor;Sometimes;Good;324;5;Anxious;Never;FALSE;FALSE;FALSE;TRUE;TRUE;16;7;4;7;4172;10
19;Male;78;MMO;World of Warcraft;Multi-platform;35;Poor;Often;Good;35;10;Withdrawn;Rarely;TRUE;FALSE;TRUE;FALSE;FALSE;15;55;4;75;5816;1
19;Male;82;RPG;Cyberpunk 2077;Mobile;44;Insomnia;Always;Average;366;6;Irritable;Never;TRUE;TRUE;TRUE;TRUE;TRUE;32;51;5;78;5427;6
